review_status,district,name,category,address,road_address,latitude,longitude,naver_link,blog_search_url,matched_queries,local_hit_count,comment_sort_hit_count,blog_result_count,recent_blog_count,distinct_blogger_count,latest_post_date,recommendation_score,recommendation_reason,possible_duplicate,reject_reason
pending,동구,갑부본가 돼지갈비,음식점>한식,대전광역시 동구 성남동 506-4 1층 갑부본가,대전광역시 동구 동서대로 1614 1층 갑부본가,36.3457546,127.4304228,,https://search.naver.com/search.naver?where=blog&query=%EA%B0%91%EB%B6%80%EB%B3%B8%EA%B0%80+%EB%8F%BC%EC%A7%80%EA%B0%88%EB%B9%84+%EB%8F%99%EA%B5%AC,소제동 냉면,1,1,2115,100,78,20260720,56,최근 12개월 블로그 100건,,
pending,동구,본 죽&비빔밥 대전용운점,음식점>죽,대전광역시 동구 용운동 431-7 본 죽&비빔밥 대전용운점,대전광역시 동구 계족로140번길 191 본 죽&비빔밥 대전용운점,36.3281729,127.4548152,https://www.bonif.co.kr/menu/list?brdCd=BF102,https://search.naver.com/search.naver?where=blog&query=%EB%B3%B8+%EC%A3%BD%26%EB%B9%84%EB%B9%94%EB%B0%A5+%EB%8C%80%EC%A0%84%EC%9A%A9%EC%9A%B4%EC%A0%90+%EB%8F%99%EA%B5%AC,용운동 냉면,1,0,273,63,76,20260713,56,지역성: 대전; 최근 12개월 블로그 63건,,
pending,동구,본 죽&비빔밥 대전판암점,음식점>죽,대전광역시 동구 판암동 323-4 1층,대전광역시 동구 옥천로 168 1층,36.3168216,127.4590917,https://www.bonif.co.kr/menu/list?brdCd=BF102,https://search.naver.com/search.naver?where=blog&query=%EB%B3%B8+%EC%A3%BD%26%EB%B9%84%EB%B9%94%EB%B0%A5+%EB%8C%80%EC%A0%84%ED%8C%90%EC%95%94%EC%A0%90+%EB%8F%99%EA%B5%AC,판암동 칼국수,1,0,282,58,72,20260620,56,지역성: 대전; 최근 12개월 블로그 58건,,
pending,동구,국밥 참 맛있는 집 대전대동점,음식점>한식>국밥,대전광역시 동구 대동 79-17 1층,대전광역시 동구 동대전로 88-3 1층,36.3303410,127.4437210,https://www.gukcham.com/,https://search.naver.com/search.naver?where=blog&query=%EA%B5%AD%EB%B0%A5+%EC%B0%B8+%EB%A7%9B%EC%9E%88%EB%8A%94+%EC%A7%91+%EB%8C%80%EC%A0%84%EB%8C%80%EB%8F%99%EC%A0%90+%EB%8F%99%EA%B5%AC,용운동 삼계탕,1,0,118,33,88,20260706,55,지역성: 대전; 최근 12개월 블로그 33건,,
pending,동구,수연분식,분식>종합분식,대전광역시 동구 원동 63-76,대전광역시 동구 대전로785번길 51,36.3288012,127.4308408,,https://search.naver.com/search.naver?where=blog&query=%EC%88%98%EC%97%B0%EB%B6%84%EC%8B%9D+%EB%8F%99%EA%B5%AC,대전역 분식 | 소제동 분식,2,0,304,100,97,20260720,55,최근 12개월 블로그 100건,,
pending,동구,카레약방,음식점>일식>카레,대전광역시 동구 중동 22-15 1층,대전광역시 동구 중앙로203번길 32 1층,36.3321825,127.4309273,https://blog.naver.com/curry_yakbang,https://search.naver.com/search.naver?where=blog&query=%EC%B9%B4%EB%A0%88%EC%95%BD%EB%B0%A9+%EB%8F%99%EA%B5%AC,대전역 맛집 | 대전역 일식,2,0,264,100,98,20260719,55,최근 12개월 블로그 100건,,
pending,동구,판암회관,음식점>한식,대전광역시 동구 판암동 465-2,대전광역시 동구 옥천로 138,36.3166644,127.4556326,,https://search.naver.com/search.naver?where=blog&query=%ED%8C%90%EC%95%94%ED%9A%8C%EA%B4%80+%EB%8F%99%EA%B5%AC,판암동 칼국수,1,1,790,87,91,20260720,55,최근 12개월 블로그 87건,,
pending,동구,독도해물알찜 대전용운점,"한식>아귀찜,해물찜",대전광역시 동구 용운동 352-7,대전광역시 동구 새울로91번길 2,36.3265484,127.4615240,,https://search.naver.com/search.naver?where=blog&query=%EB%8F%85%EB%8F%84%ED%95%B4%EB%AC%BC%EC%95%8C%EC%B0%9C+%EB%8C%80%EC%A0%84%EC%9A%A9%EC%9A%B4%EC%A0%90+%EB%8F%99%EA%B5%AC,용운동 해산물,1,0,59,17,54,20260330,54,지역성: 대전; 최근 12개월 블로그 17건,,
pending,동구,동해아구찜탕,"한식>아귀찜,해물찜",대전광역시 동구 중동 25-2,대전광역시 동구 대전로813번길 45,36.3311265,127.4298094,,https://search.naver.com/search.naver?where=blog&query=%EB%8F%99%ED%95%B4%EC%95%84%EA%B5%AC%EC%B0%9C%ED%83%95+%EB%8F%99%EA%B5%AC,대전역 해산물,1,0,4615,100,99,20260720,54,최근 12개월 블로그 100건,,
pending,동구,미소야 대전역점,음식점>일식>돈가스,대전광역시 동구 정동 26-7,대전광역시 동구 대전로 811-1,36.3319086,127.4320884,https://blog.naver.com/misoya-official,https://search.naver.com/search.naver?where=blog&query=%EB%AF%B8%EC%86%8C%EC%95%BC+%EB%8C%80%EC%A0%84%EC%97%AD%EC%A0%90+%EB%8F%99%EA%B5%AC,대전역 일식,1,0,51,32,16,20260717,54,지역성: 대전; 최근 12개월 블로그 32건,,
